Abasyn University ,7409,2880,98,Peshawar,352
Abdul Wali Khan University Mardan,3917,1313,21,Mardan,"3,115"
Aga Khan University,1559,434,2,Karachi,"7,475"
Air University,5473,1999,52,Islamabad,"1,260"
Bacha Khan University ,7300,2836,95,Peshawar,471
Bahauddin Zakariya University,2862,896,9,Multan,"4,756"
Bahria University,4860,1725,36,Islamabad,"2,236"
"Balochistan University of Information Technology, Engineering and Management Sciences",6322,2365,68,Quetta,722
Baqai Medical University ,6519,2460,76,Karachi,509
Beaconhouse National University ,6667,2532,81,Lahore,97
CECOS University ,7193,2782,93,Peshawar,1856
COMSATS Institute of Information Technology,2526,758,8,Islamabad,"17,977"
Dawood University of Engineering and Technology ,7072,2722,90,Karachi,241
DOW University of Health Sciences,4186,1435,23,Karachi,"3,027"
Fatima Jinnah Medical University ,6826,2599,82,Lahore,296
Fatima Jinnah Women University,4194,1440,24,Rawalpindi,720
"Federal Urdu University of Arts, Sciences and Technology",5312,1938,47,Islamabad,"1,218"
Forman Christian College,4326,1490,27,Lahore,768
Foundation University Islamabad,5365,1959,49,Islamabad,"2,118"
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology ,4992,1788,39,Topi,790
Gomal University,5125,1844,44,Dera Ismail Khan,"1,389"
"Government College for Women University, Sialkot ",7540,2939,100,Sialkot,3561
"Government College University, Faisalabad",3868,1291,19,Faisalabad,"4,950"
"Government College University, Lahore",3498,1139,16,Lahore,"3,160"
"Government College Women University, Faisalabad ",7336,2851,96,Faisalabad,463
Hamdard University,5114,1838,43,Karachi,"3,068"
Hazara University,5534,2024,53,Hazara,"2,114"
HITEC University ,6989,2681,88,Taxila,653
"Indus University, Pakistan ",7153,2756,92,Karachi,313
Information Technology University,4115,1405,22,Lahore,"11,172"
Institute of Business Administration ,4248,1457,25,Karachi,371
Institute of Space Technology,5785,2130,58,Islamabad,870
"International Islamic University, Islamabad",2912,912,10,Islamabad,"4,841"
Iqra University,5762,2118,57,Karachi,"1,082"
Islamia College Peshawar,5819,2148,59,Peshawar,"1,241"
Islamia University of Bahawalpur,3473,1129,15,Bahawalpur,"3,699"
Isra University,6374,2385,70,Hyderabad,969
Jinnah Sindh Medical University ,5606,2055,55,Karachi,571
Jinnah University for Women ,6828,2600,83,Karachi,535
Karachi Institute of Economics and Technology ,6406,2403,72,Karachi,238
Karakurum International University ,6516,2457,75,Gilgit,451
Khyber Medical University,5428,1981,51,Peshawar,784
King Edward Medical University,4793,1691,32,Lahore,"1,209"
Kinnaird College for Women ,6088,2262,60,Lahore,303
Kohat University of Science and Technology,6241,2328,64,Kohat,"1,446"
Lahore College for Women University,4800,1694,33,Lahore,"1,289"
Lahore School of Economics ,6275,2345,66,Lahore,372
Lahore University of Management Sciences,2061,606,4,Lahore,"2,698"
Liaquat University of Medical and Health Sciences,4949,1765,38,Jamshoro,675
Mehran University of Engineering and Technology,3870,1293,20,Jamshoro,"1,568"
Mirpur University of Science and Technology ,6894,2635,85,Materials Science,730
Mohammad Ali Jinnah University,6309,2359,67,Karachi,829
National College of Business Administration and Economics ,6988,2680,87,Lahore,529
National Defence University,4569,1597,28,Islamabad,942
National Textile University ,6428,2414,73,Faisalabad,819
National University of Computer and Emerging Sciences,3011,953,11,Islamabad,"2,087"
National University of Modern Languages,5731,2108,56,Islamabad,724
National University of Sciences and Technology,3463,1125,14,Islamabad,"2,971"
NED University of Engineering and Technology,3755,1248,18,Karachi,"1,251"
Pakistan Institute of Development Economics,5537,2025,54,Islamabad,574
Pakistan Institute of Engineering and Applied Sciences,4824,1704,34,Islamabad,"2,159"
Pir Mehr Ali Shah Arid Agriculture University,4940,1760,37,Rawalpindi,"2,228"
Preston University ,7062,2714,89,Kohat,228
"Quaid-e-Awam University of Engineering, Science and Technology ",6866,2620,84,Nawabshah,426
Quaid-i-Azam University,2014,592,3,Islamabad,"13,401"
Rawalpindi Medical University ,6383,2389,71,Rawalpindi,617
Riphah International University,4844,1714,35,Islamabad,"2,318"
Sarhad University of Science and Information Technology ,6558,2482,79,Peshawar,448
Shah Abdul Latif University ,6481,2442,74,Khairpur,468
Shaheed Benazir Bhutto Women University ,7430,2888,99,Peshawar,240
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,5108,1834,42,Karachi,862
Sindh Agriculture University,6102,2271,62,Tando Jam,765
Sindh Madresatul Islam University ,7126,2745,91,Karachi,144
Sir Syed University of Engineering and Technology ,6897,2637,86,Karachi,359
Sukkur Institute of Business Administration,6090,2263,61,Sukkur,780
"University of Agriculture, Faisalabad",2122,624,5,Faisalabad,"20,228"
"University of Agriculture, Peshawar",6272,2343,65,Peshawar,"1,198"
University of Azad Jammu and Kashmir,6367,2381,69,Kashmir,"1,082"
University of Balochistan,5251,1903,46,Quetta,892
University of Central Punjab,4266,1462,26,Lahore,"1,096"
University of Education - Pakistan,5389,1968,50,Lahore,972
"University of Engineering and Technology, Lahore",2401,719,7,Lahore,"6,810"
"University of Engineering and Technology, Peshawar",5060,1813,40,Peshawar,"1,500"
"University of Engineering and Technology, Taxila",4774,1685,31,Taxila,"1,662"
University of Gujrat,5101,1830,41,Gujrat,"1,990"
University of Haripur,6656,2526,80,Haripur,827
"University of Health Sciences, Lahore ",5132,1847,45,Lahore,811
University of Karachi,2327,690,6,Karachi,"8,269"
University of Lahore,3644,1201,17,Lahore,"3,925"
University of Malakand,6522,2462,77,Totakan,"1,884"
University of Management and Technology - Lahore,4695,1654,30,Lahore,"1,597"
University of Peshawar,3040,967,12,Peshawar,"4,290"
University of Sargodha,4644,1630,29,Sargodha,"3,678"
"University of Science and Technology, Bannu",6553,2478,78,Bannu,"1,784"
University of Sindh,3363,1089,13,Jamshoro,"2,220"
University of Swat ,7284,2828,94,Swat,578
University of the Punjab,1240,319,1,Lahore,"9,740"
University of Veterinary and Animal Sciences,5351,1954,48,Lahore,"2,443"
University of Wah ,7352,2857,97,Materials Science,394
Ziauddin University,6152,2291,63,Karachi,"1,116"
